lon,lat,so2,no2,voc,co,pm25,pm10,nh3
103.873915057,29.0950188589,0.0,0.0,0.0,0.0,0.0,0.0,2.3797216926
103.905069965,29.0950760687,0.0,0.0,0.0,0.0,0.0,0.0,3.06379963654
103.936224912,29.095124477,0.0,0.0,0.0,0.0,0.0,0.0,2.36588182031
103.967379891,29.0951640839,0.0,0.0,0.0,0.0,0.0,0.0,2.93432068622
103.998534896,29.0951948892,0.0,0.0,0.0,0.0,0.0,0.0,3.63219417189
104.02968992,29.095216893,0.0,0.0,0.0,0.0,0.0,0.0,4.25008853909
104.060844957,29.0952300953,0.0,0.0,0.0,0.0,0.0,0.0,5.06811008449
104.092,29.0952344961,0.0,0.0,0.0,0.0,0.0,0.0,5.53866508642
104.123155043,29.0952300953,0.0,0.0,0.0,0.0,0.0,0.0,4.9946409213
104.15431008,29.095216893,0.0,0.0,0.0,0.0,0.0,0.0,4.58724731163
104.185465104,29.0951948892,0.0,0.0,0.0,0.0,0.0,0.0,3.39817230815
104.216620109,29.0951640839,0.0,0.0,0.0,0.0,0.0,0.0,1.85203296429
104.247775088,29.095124477,0.0,0.0,0.0,0.0,0.0,0.0,2.34053459927
104.278930035,29.0950760687,0.0,0.0,0.0,0.0,0.0,0.0,0.541403865387
104.310084943,29.0950188589,0.0,0.0,0.0,0.0,0.0,0.0,1.1533294714
104.341239806,29.0949528476,0.0,0.0,0.0,0.0,0.0,0.0,3.14317090487
104.372394617,29.0948780349,0.0,0.0,0.0,0.0,0.0,0.0,3.61520394444
104.40354937,29.0947944208,0.0,0.0,0.0,0.0,0.0,0.0,3.86978178636
104.434704059,29.0947020053,0.0,0.0,0.0,0.0,0.0,0.0,3.76531934241
104.465858677,29.0946007885,0.0,0.0,0.0,0.0,0.0,0.0,3.31939627209
104.497013217,29.0944907704,0.0,0.0,0.0,0.0,0.0,0.0,4.53779819628
104.528167674,29.094371951,0.0,0.0,0.0,0.0,0.0,0.0,4.77546096924
104.559322041,29.0942443305,0.0,0.0,0.0,0.0,0.0,0.0,3.97757962025
104.590476311,29.0941079087,0.0,0.0,0.0,0.0,0.0,0.0,5.26189470082
104.621630477,29.0939626858,0.0,0.0,0.0,0.0,0.0,0.0,4.66597361006
104.652784534,29.0938086618,0.0,0.0,0.0,0.0,0.0,0.0,5.26189470082
104.683938475,29.0936458368,0.0,0.0,0.0,0.0,0.0,0.0,5.26189470082
104.715092294,29.0934742109,0.0,0.0,0.0,0.0,0.0,0.0,5.26189470082
104.746245984,29.0932937841,0.0,0.0,0.0,0.0,0.0,0.0,6.11740235159
104.777399538,29.0931045564,0.0,0.0,0.0,0.0,0.0,0.0,7.51614920627
104.80855295,29.092906528,0.0,0.0,0.0,0.0,0.0,0.0,6.68918795993
104.839706215,29.0926996989,0.0,0.0,0.0,0.0,0.0,0.0,7.51614920627
104.870859324,29.0924840691,0.0,0.0,0.0,0.0,0.0,0.0,6.66494668766
104.902012273,29.0922596389,0.0,0.0,0.0,0.0,0.0,0.0,7.51614920627
104.933165054,29.0920264081,0.0,0.0,0.0,0.0,0.0,0.0,6.68918795993
104.96431766,29.091784377,0.0,0.0,0.0,0.0,0.0,0.0,7.51614920627
104.995470087,29.0915335457,0.0,0.0,0.0,0.0,0.0,0.0,6.97823922377
105.026622326,29.0912739141,0.0,0.0,0.0,0.0,0.0,0.0,6.6048678939
105.057774372,29.0910054824,0.0,0.0,0.0,0.0,0.0,0.0,5.76195890065
105.088926218,29.0907282507,0.0,0.0,0.0,0.0,0.0,0.0,2.8153597982
105.120077858,29.0904422192,0.0,0.0,0.0,0.0,0.0,0.0,4.09261554403
105.151229286,29.0901473878,0.0,0.0,0.0,0.0,0.0,0.0,5.61218563778
105.182380494,29.0898437567,0.0,0.0,0.0,0.0,0.0,0.0,6.13727156278
105.213531476,29.0895313261,0.0,0.0,0.0,0.0,0.0,0.0,3.68765712863
105.244682227,29.089210096,0.0,0.0,0.0,0.0,0.0,0.0,5.90870985389
105.275832739,29.0888800665,0.0,0.0,0.0,0.0,0.0,0.0,7.41859773527
105.306983007,29.0885412378,0.0,0.0,0.0,0.0,0.0,0.0,7.7563833646
105.338133022,29.08819361,0.0,0.0,0.0,0.0,0.0,0.0,5.01560915112
105.369282781,29.0878371832,0.0,0.0,0.0,0.0,0.0,0.0,5.97008334012
105.400432275,29.0874719575,0.0,0.0,0.0,0.0,0.0,0.0,6.87797796316
105.431581498,29.0870979331,0.0,0.0,0.0,0.0,0.0,0.0,7.7563833646
105.462730444,29.0867151101,0.0,0.0,0.0,0.0,0.0,0.0,7.7563833646
105.493879107,29.0863234887,0.0,0.0,0.0,0.0,0.0,0.0,7.46301500818
105.525027479,29.085923069,0.0,0.0,0.0,0.0,0.0,0.0,6.78971079969
105.556175556,29.0855138511,0.0,0.0,0.0,0.0,0.0,0.0,6.78971079969
105.587323329,29.0850958352,0.0,0.0,0.0,0.0,0.0,0.0,6.78971079969
102.596195623,29.1124565251,0.0,0.0,0.0,0.0,0.0,0.0,0.268689097606
