ISTACK,LATITUDE,LONGITUDE,STKDM,STKHT,STKTK,STKVE,STKFLW,STKCNT,ROW,COL,XLOCA,YLOCA,LMAJOR,LPING,IFIP,SO2,NOX,VOC,CO,PM25,PM10,NH3
354,37.43711028,106.2019125,9.84,197,230,0.01,2800,,,,,,,,51183,25.5923,0,0,0,0,0,0
355,37.4370268,106.2365263,2.62,98,234,0.78,3200,,,,,,,,51183,12.719,8.5172,0.0363,1.7576,1.7477,3.0662,3.0662
356,37.43693351,106.2711401,1.64,115,234,32.25,2200,,,,,,,,51182,32.2032,0.935,0.024,1.1603,1.3355,2.3429,2.3429
357,37.43646211,106.4095941,2.62,115,221,81.32,8000,,,,,,,,51182,11.0255,0,0.3372,16.313,0.6285,1.1025,1.1025
358,37.43631971,106.4442074,3.94,115,221,1.65,8000,,,,,,,,51182,4.4433,2.9217,0.024,1.1603,0.5656,0.9923,0.9923
359,37.43616749,106.4788205,2.62,148,234,2.02,200,,,,,,,,51182,6.6958,7.8468,0.0335,1.6194,2.5157,4.4135,4.4135
360,37.43600545,106.5134334,2.62,148,234,0.83,200,,,,,,,,51182,2.7553,3.2073,0.0138,0.6655,1.0429,1.8297,1.8297
361,37.43583359,106.5480462,9.84,197,230,0.02,2800,,,,,,,,51183,4.5249,0,0,0,0,0,0
362,37.43565191,106.5826589,3.28,98,203,2598.37,3200,,,,,,,,51182,169.7923,1777.8705,15.5425,750.8641,18.391,32.2649,32.2649
363,37.43546041,106.6172713,2.62,115,262,2.14,2000,,,,,,,,51182,0.3583,0.5513,0.0121,0.5804,1.5963,2.8005,2.8005
364,37.43525909,106.6518836,2.62,148,234,2.02,200,,,,,,,,51182,6.6958,7.8468,0.0335,1.6194,2.5345,4.4466,4.4466
365,37.43504795,106.6864958,1.64,115,234,2.74,2300,,,,,,,,51183,7.4091,4.9615,0.0212,1.0238,1.0181,1.7861,1.7861
366,37.45496229,104.3669406,4.92,148,201,0.26,2000,,,,,,,,51183,1.2723,0.8523,0.0036,0.1758,0.1747,0.3065,0.3065
367,37.45539941,104.4015583,2.62,164,187,2.34,3259,,,,,,,,51183,4.9394,3.3076,0.0141,0.6826,0.6787,1.1908,1.1908
368,37.45582672,104.4361765,6.56,164,189,0.13,2600,,,,,,,,51183,4.322,2.8942,0.0123,0.5972,0.5939,1.0419,1.0419
369,37.4562442,104.470795,2.62,164,187,4.1,3259,,,,,,,,51183,17.2879,11.5767,0.0494,2.3889,2.3755,4.1676,4.1676
370,37.45665186,104.5054139,6.56,164,189,0.56,2600,,,,,,,,51183,18.5228,12.4037,0.0529,2.5596,2.5452,4.4653,4.4653
371,37.4570497,104.5400332,3.28,98,234,1.29,200,,,,,,,,51183,6.6969,7.8468,0.0335,1.6194,2.5345,4.4466,4.4466
372,37.45889157,104.7131347,9.84,197,189,7.77,2600,,,,,,,,51183,208.2899,128.0465,0.5462,26.4233,26.2753,46.0969,46.0969
373,37.45923048,104.747756,2.62,148,234,1.62,200,,,,,,,,51183,3.408,2.419,0.0097,0.471,0.4682,0.8214,0.8214
374,37.45955957,104.7823775,2.62,148,234,1.85,200,,,,,,,,51183,2.7167,1.8192,0.0078,0.3754,0.3733,0.6549,0.6549
375,37.45987883,104.8169994,6.56,164,203,0.38,3000,,,,,,,,51183,11.3606,7.6076,0.0325,1.5699,1.5611,2.7387,2.7387
376,37.46105767,104.9554896,3.94,115,221,0.39,8000,,,,,,,,51183,0,3.5171,0.4807,0.0106,0,0,0
377,37.46132782,104.9901127,4.92,148,201,1.27,2000,,,,,,,,51183,8.644,5.7884,0.0247,1.1945,1.1878,2.0838,2.0838
378,37.46158815,105.0247362,4.92,148,201,0.26,2000,,,,,,,,51183,1.7288,1.1577,0.0049,0.2389,0.2376,0.4168,0.4168
379,37.46274246,105.1978565,4.92,197,187,0.25,3259,,,,,,,,51183,1.8523,1.2404,0.0053,0.256,0.2545,0.4465,0.4465
